ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
74,2020-09-18,23,2020-07-22T13:42:00,1595439720,1,0.4,40
75,2020-09-18,23,2020-07-22T14:08:00,1595441280,1,0.44,44
76,2020-09-18,23,2020-07-22T14:09:00,1595441340,1,0.43,43
77,2020-09-18,23,2020-07-22T14:44:00,1595443440,3,0.46,138
78,2020-09-18,23,2020-07-23T11:43:00,1595518980,1,0.35,35
79,2020-09-18,23,2020-07-23T11:44:00,1595519040,2,0.37,74
80,2020-09-18,23,2020-07-23T14:50:00,1595530200,1,0.46,46
81,2020-09-18,23,2020-07-23T15:46:00,1595533560,11,0.48,528
82,2020-09-18,23,2020-07-24T10:05:00,1595599500,3,0.59,177
83,2020-09-18,23,2020-07-24T11:49:00,1595605740,1,0.56,56
84,2020-09-18,23,2020-07-24T13:49:00,1595612940,1,0.6,60
85,2020-09-18,23,2020-07-24T14:10:00,1595614200,1,0.57,57
86,2020-09-18,23,2020-07-24T14:12:00,1595614320,1,0.56,56
87,2020-09-18,23,2020-07-24T15:13:00,1595617980,1,0.56,56
88,2020-09-18,23,2020-07-27T09:59:00,1595858340,1,0.57,57
89,2020-09-18,23,2020-07-27T10:00:00,1595858400,2,0.58,116
90,2020-09-18,23,2020-07-27T10:57:00,1595861820,1,0.55,55
91,2020-09-18,23,2020-07-27T11:03:00,1595862180,1,0.55,55
92,2020-09-18,23,2020-07-27T11:35:00,1595864100,4,0.59,236
93,2020-09-18,23,2020-07-27T11:37:00,1595864220,1,0.59,59
94,2020-09-18,23,2020-07-27T11:41:00,1595864460,1,0.59,59
95,2020-09-18,23,2020-07-27T11:44:00,1595864640,1,0.57,57
96,2020-09-18,23,2020-07-27T12:52:00,1595868720,6,0.54,324
97,2020-09-18,23,2020-07-27T13:17:00,1595870220,1,0.53,53
98,2020-09-18,23,2020-07-27T15:33:00,1595878380,2,0.53,106
99,2020-09-18,23,2020-07-28T09:30:00,1595943000,25,0.52,1300
100,2020-09-18,23,2020-07-28T09:31:00,1595943060,60,0.5106667,3064
101,2020-09-18,23,2020-07-28T09:52:00,1595944320,20,0.6,1200
102,2020-09-18,23,2020-07-28T10:20:00,1595946000,1,0.59,59
103,2020-09-18,23,2020-07-28T11:30:00,1595950200,10,0.58,580
104,2020-09-18,23,2020-07-28T11:36:00,1595950560,1,0.59,59
105,2020-09-18,23,2020-07-28T12:12:00,1595952720,3,0.6,180
106,2020-09-18,23,2020-07-28T12:39:00,1595954340,3,0.6,180
107,2020-09-18,23,2020-07-28T13:01:00,1595955660,30,0.5583333,1675
108,2020-09-18,23,2020-07-28T13:14:00,1595956440,1,0.58,58
109,2020-09-18,23,2020-07-28T13:54:00,1595958840,3,0.57,171
110,2020-09-18,23,2020-07-28T14:08:00,1595959680,1,0.54,54
111,2020-09-18,23,2020-07-28T14:10:00,1595959800,3,0.54,162
112,2020-09-18,23,2020-07-28T15:50:00,1595965800,3,0.63,189
113,2020-09-18,23,2020-07-29T09:53:00,1596030780,2,0.59,118
114,2020-09-18,23,2020-07-29T10:22:00,1596032520,18,0.58,1044
115,2020-09-18,23,2020-07-29T10:36:00,1596033360,3,0.58,174
116,2020-09-18,23,2020-07-29T10:39:00,1596033540,3,0.58,174
117,2020-09-18,23,2020-07-29T11:12:00,1596035520,1,0.62,62
118,2020-09-18,23,2020-07-29T11:21:00,1596036060,3,0.62,186
119,2020-09-18,23,2020-07-29T12:15:00,1596039300,1,0.62,62
120,2020-09-18,23,2020-07-29T12:42:00,1596040920,1,0.64,64
121,2020-09-18,23,2020-07-29T12:55:00,1596041700,1,0.63,63
122,2020-09-18,23,2020-07-29T14:27:00,1596047220,1,0.65,65
123,2020-09-18,23,2020-07-30T09:30:00,1596115800,5,0.66,330
124,2020-09-18,23,2020-07-30T09:31:00,1596115860,1,0.61,61
125,2020-09-18,23,2020-07-30T09:34:00,1596116040,2,0.63,126
126,2020-09-18,23,2020-07-30T09:44:00,1596116640,1,0.6,60
127,2020-09-18,23,2020-07-30T11:12:00,1596121920,1,0.64,64
128,2020-09-18,23,2020-07-30T11:40:00,1596123600,1,0.6,60
129,2020-09-18,23,2020-07-30T12:56:00,1596128160,1,0.6,60
130,2020-09-18,23,2020-07-30T14:01:00,1596132060,1,0.56,56
131,2020-09-18,23,2020-07-31T09:40:00,1596202800,1,0.55,55
132,2020-09-18,23,2020-07-31T10:03:00,1596204180,1,0.54,54
133,2020-09-18,23,2020-07-31T10:32:00,1596205920,30,0.5,1500
134,2020-09-18,23,2020-07-31T10:47:00,1596206820,1,0.51,51
135,2020-09-18,23,2020-07-31T10:51:00,1596207060,1,0.5,50
136,2020-09-18,23,2020-07-31T10:57:00,1596207420,2,0.48,96
137,2020-09-18,23,2020-07-31T11:43:00,1596210180,4,0.48,192
138,2020-09-18,23,2020-07-31T12:55:00,1596214500,10,0.51,510
139,2020-09-18,23,2020-07-31T13:29:00,1596216540,1,0.53,53
140,2020-09-18,23,2020-07-31T14:01:00,1596218460,1,0.51,51
141,2020-09-18,23,2020-07-31T15:14:00,1596222840,2,0.52,104
142,2020-09-18,23,2020-07-31T15:24:00,1596223440,1,0.5,50
143,2020-09-18,23,2020-07-31T15:45:00,1596224700,21,0.4890476,1027
144,2020-09-18,24,2020-07-20T11:46:00,1595259960,1,0.34,34
145,2020-09-18,24,2020-07-20T15:59:00,1595275140,2,0.4,80
146,2020-09-18,24,2020-07-21T09:32:00,1595338320,50,0.3442,1721
147,2020-09-18,24,2020-07-21T11:38:00,1595345880,1,0.37,37
148,2020-09-18,24,2020-07-22T10:35:00,1595428500,1,0.51,51
149,2020-09-18,24,2020-07-22T12:24:00,1595435040,10,0.54,540
150,2020-09-18,24,2020-07-22T15:43:00,1595446980,3,0.63,189
151,2020-09-18,24,2020-07-23T09:30:00,1595511000,1,0.62,62
152,2020-09-18,24,2020-07-23T09:34:00,1595511240,10,0.68,680
153,2020-09-18,24,2020-07-23T09:35:00,1595511300,5,0.62,310
154,2020-09-18,24,2020-07-23T12:22:00,1595521320,2,0.54,108
155,2020-09-18,24,2020-07-23T14:41:00,1595529660,1,0.67,67
